trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-159.304547246948,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-110.12801909013079,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.97}",30,0,-236.023762530764,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.96}",20,6,-60.231686000897085,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.95}",25,0,-75.84800265962716,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.94}",25,0,-82.96648006930567,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-85.07842078115132,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-164.10087891513234,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-68.59518564198626,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,12,2.987844272054595,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,14,-37.08501070176712,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-119.84668123098804,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-102.22482503256492,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-130.73757630539134,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-72.60007340198713,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,13,1.3779594543304405,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,0,-63.36036130704497,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,0,-6.598895788984069,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,0,-52.69376582180062,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-118.82841946564606,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",25,0,-172.69453213589722,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-63.219206868380255,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,6,-67.6777282624287,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-67.20498840723707,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-149.1309410851953,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-39.93940527140505,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-82.81973430287914,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
