trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.9974649407715502}",20,0,-141.64036564271186,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.001, 'e': 0.9974009322376768}",20,0,-57.25105962057697,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.001, 'e': 0.9973353118490808}",30,0,-138.76359674634836,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.001, 'e': 0.997268039236989}",30,16,-115.38252168590651,"{0: 8, 1: 2, 2: 0, 3: 2, 4: 2}",1
5,False,"{'a': 0.001, 'e': 0.9971990730328789}",20,0,-47.424072503416724,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.001, 'e': 0.9971283708442995}",20,0,-77.3632506155805,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.001, 'e': 0.9970558892301329}",20,0,-110.56241382003516,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.001, 'e': 0.9969815836752917}",20,0,-29.813638409141976,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.001, 'e': 0.9969054085648383}",30,0,-164.96042974034964,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.001, 'e': 0.9968273171575148}",20,0,-107.19870715376945,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.9967472615586723}",25,0,-95.85142977792975,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.001, 'e': 0.9966651926925867}",20,0,-98.71811476137779,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.001, 'e': 0.9965810602741516}",35,0,-318.6229307043902,"{0: 17, 1: 4, 2: 6, 3: 3, 4: 5}",0
14,False,"{'a': 0.001, 'e': 0.9964948127799336}",25,0,-107.53663562352754,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
15,False,"{'a': 0.001, 'e': 0.9964063974185798}",20,0,-72.36817117430094,"{0: 13, 1: 3, 2: 1, 3: 3, 4: 0}",0
16,False,"{'a': 0.001, 'e': 0.9963157601005641}",25,0,-90.73318916600896,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.001, 'e': 0.9962228454072597}",25,0,-99.17957927569928,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.001, 'e': 0.9961275965593289}",20,0,-85.38329186907706,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
19,False,"{'a': 0.001, 'e': 0.9960299553844113}",20,0,-35.79097421827721,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.001, 'e': 0.995929862284104}",20,0,-78.92326572011193,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.001, 'e': 0.995827256200217}",20,0,-161.29443825259057,"{0: 7, 1: 4, 2: 7, 3: 0, 4: 2}",0
22,False,"{'a': 0.001, 'e': 0.9957220745802952}",25,0,-120.56561604116709,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 0.001, 'e': 0.9956142533423873}",20,0,-87.71249592391017,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.001, 'e': 0.9955037268390589}",25,0,-76.86035978812288,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
25,False,"{'a': 0.001, 'e': 0.9953904278206259}",35,14,-51.15052249767739,"{0: 16, 1: 1, 2: 1, 3: 3, 4: 0}",1
26,False,"{'a': 0.001, 'e': 0.9952742873976046}",20,11,-12.840841933505116,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.001, 'e': 0.9951552350023601}",30,0,-102.69646095496533,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
28,False,"{'a': 0.001, 'e': 0.995033198349943}",20,0,-92.83787279203513,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.001, 'e': 0.9949081033980989}",20,0,-105.53535613632212,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
30,False,"{'a': 0.001, 'e': 0.9947798743064417}",20,0,-99.42526565738686,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
31,False,"{'a': 0.001, 'e': 0.9946484333947746}",20,0,-58.15400803121536,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
32,False,"{'a': 0.001, 'e': 0.9945137011005495}",20,0,-20.715835875826045,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.001, 'e': 0.9943755959354477}",25,0,-120.8252668498328,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
34,False,"{'a': 0.001, 'e': 0.994234034441075}",20,6,-86.54450551645529,"{0: 6, 1: 1, 2: 5, 3: 2, 4: 0}",1
35,False,"{'a': 0.001, 'e': 0.9940889311437562}",35,0,-318.1971075637404,"{0: 17, 1: 2, 2: 9, 3: 2, 4: 5}",0
36,False,"{'a': 0.001, 'e': 0.9939401985084158}",25,0,-95.25508352472276,"{0: 18, 1: 0, 2: 3, 3: 4, 4: 0}",0
37,False,"{'a': 0.001, 'e': 0.9937877468915373}",20,0,-97.74932480800229,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
38,False,"{'a': 0.001, 'e': 0.9936314844931844}",20,0,-76.66666819964219,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
39,False,"{'a': 0.001, 'e': 0.9934713173080783}",35,0,-164.32787835139806,"{0: 22, 1: 2, 2: 6, 3: 4, 4: 1}",0
40,False,"{'a': 0.001, 'e': 0.9933071490757153}",30,0,-95.05029054737747,"{0: 21, 1: 1, 2: 5, 3: 3, 4: 0}",0
41,False,"{'a': 0.001, 'e': 0.9931388812295173}",30,0,-131.30634858776403,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
42,False,"{'a': 0.001, 'e': 0.9929664128450049}",35,0,-132.08255353701855,"{0: 21, 1: 2, 2: 10, 3: 2, 4: 0}",0
43,False,"{'a': 0.001, 'e': 0.992789640586981}",25,0,-163.15118478039946,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
44,False,"{'a': 0.001, 'e': 0.9926084586557181}",25,0,-144.83176772971606,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
45,False,"{'a': 0.001, 'e': 0.9924227587321393}",30,0,-64.83841768046541,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
46,False,"{'a': 0.001, 'e': 0.9922324299219849}",20,0,-130.41978557376544,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.001, 'e': 0.9920373586989583}",20,0,-119.03988880147004,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
48,False,"{'a': 0.001, 'e': 0.9918374288468401}",25,0,-126.34726535838286,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
49,False,"{'a': 0.001, 'e': 0.9916325214005703}",25,6,-38.49852091707313,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
50,False,"{'a': 0.001, 'e': 0.991422514586288}",35,0,-141.6688797335843,"{0: 21, 1: 4, 2: 7, 3: 2, 4: 1}",0
51,False,"{'a': 0.001, 'e': 0.9912072837603251}",20,0,-151.45058335313584,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
52,False,"{'a': 0.001, 'e': 0.990986701347152}",25,10,-103.711065580418,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 2}",1
53,False,"{'a': 0.001, 'e': 0.9907606367762712}",20,0,-111.91090081306352,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.001, 'e': 0.9905289564180538}",30,0,-101.19536115149694,"{0: 20, 1: 5, 2: 2, 3: 2, 4: 1}",0
55,False,"{'a': 0.001, 'e': 0.9902915235185259}",25,0,-64.90547270513467,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.001, 'e': 0.9900481981330957}",20,7,-4.57337873139254,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.001, 'e': 0.9897988370592303}",20,0,-70.73776075777954,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
58,False,"{'a': 0.001, 'e': 0.9895432937680818}",25,0,-116.9976917003513,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.001, 'e': 0.9892814183350669}",30,0,-129.84707168670633,"{0: 16, 1: 5, 2: 6, 3: 3, 4: 0}",0
60,False,"{'a': 0.001, 'e': 0.9890130573694068}",20,5,-28.207984135184514,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
