trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.9996561633595397}",20,0,-99.65645218212937,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
2,False,"{'a': 0.001, 'e': 0.9996474621621289}",35,11,-95.82983242200844,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 1}",1
3,False,"{'a': 0.001, 'e': 0.9996385408501296}",30,0,-236.4566136213622,"{0: 13, 1: 4, 2: 9, 3: 1, 4: 3}",0
4,False,"{'a': 0.001, 'e': 0.9996293938593735}",20,0,-93.18366706147793,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.001, 'e': 0.999620015485248}",20,0,-23.162299374620556,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.001, 'e': 0.9996103998791612}",20,0,-117.80817986088442,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.001, 'e': 0.9996005410449191}",20,0,-117.90478880022022,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.001, 'e': 0.9995904328350139}",20,0,-39.56408080604011,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.001, 'e': 0.9995800689468163}",20,0,-115.96789752988435,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.001, 'e': 0.9995694429186754}",20,0,-70.72365360959063,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.9995585481259198}",20,0,-120.81932026933512,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.001, 'e': 0.9995473777767595}",35,5,-136.63817968957588,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 1}",1
13,False,"{'a': 0.001, 'e': 0.999535924908085}",20,0,-69.47843512814019,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.001, 'e': 0.9995241823811616}",30,0,-152.4144516132571,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.001, 'e': 0.9995121428772178}",30,0,-166.7488585476358,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.001, 'e': 0.9994997988929205}",20,0,-61.48851195739164,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.001, 'e': 0.999487142735741}",25,0,-184.85626620238935,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.001, 'e': 0.9994741665192033}",20,0,-89.14294810393422,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.001, 'e': 0.9994608621580151}",30,0,-166.53110507045986,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.001, 'e': 0.9994472213630764}",20,0,-134.8357829336834,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
21,False,"{'a': 0.001, 'e': 0.9994332356363659}",25,0,-112.36763212876927,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.001, 'e': 0.9994188962656985}",25,13,-91.72002275590019,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
23,False,"{'a': 0.001, 'e': 0.9994041943193525}",20,0,-87.63423213709028,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.001, 'e': 0.9993891206405656}",35,0,-247.94200037856075,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 5}",0
25,False,"{'a': 0.001, 'e': 0.9993736658418905}",20,0,-181.95717999361858,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
26,False,"{'a': 0.001, 'e': 0.9993578202994141}",25,0,-207.10522743363137,"{0: 13, 1: 4, 2: 2, 3: 3, 4: 3}",0
27,False,"{'a': 0.001, 'e': 0.9993415741468299}",20,0,-89.26720452647204,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
28,False,"{'a': 0.001, 'e': 0.9993249172693672}",30,0,-73.46624973402545,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.001, 'e': 0.9993078392975657}",20,0,-109.08278233298022,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
30,False,"{'a': 0.001, 'e': 0.9992903296008995}",20,0,-92.96268978821259,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.001, 'e': 0.9992723772812407}",25,0,-19.09965227270135,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.001, 'e': 0.9992539711661633}",20,0,-157.41049220291072,"{0: 7, 1: 2, 2: 9, 3: 1, 4: 1}",0
33,False,"{'a': 0.001, 'e': 0.9992350998020796}",25,0,-222.78597716614127,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
34,False,"{'a': 0.001, 'e': 0.9992157514472091}",20,0,-90.79538142754447,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.001, 'e': 0.9991959140643708}",20,0,-143.76891916614719,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
36,False,"{'a': 0.001, 'e': 0.9991755753136017}",35,12,-111.55755575923915,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 1}",1
