trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.999953063437609}",20,0,-124.174678928292,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.001, 'e': 0.9999514725947022}",20,9,-102.28267863817936,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 2}",1
3,False,"{'a': 0.001, 'e': 0.9999498278353162}",20,8,-1.471059778477418,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.001, 'e': 0.9999481273323132}",25,0,-91.12891943051046,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.001, 'e': 0.999946369196649}",30,0,-237.1728847827179,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 5}",0
6,False,"{'a': 0.001, 'e': 0.9999445514752772}",25,0,-113.55490818115467,"{0: 14, 1: 0, 2: 9, 3: 2, 4: 0}",0
7,False,"{'a': 0.001, 'e': 0.9999426721489815}",20,0,-170.8468096278288,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.001, 'e': 0.9999407291301349}",20,0,-155.3920477079329,"{0: 10, 1: 1, 2: 4, 3: 4, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.9999387202603833}",25,0,-36.8656807589406,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.001, 'e': 0.9999366433082503}",20,0,-147.2822427661673,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.001, 'e': 0.9999344959666603}",30,0,-59.61586732959655,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.001, 'e': 0.9999322758503804}",30,0,-83.92141453797302,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.001, 'e': 0.9999299804933723}",30,0,-74.88555142920332,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.001, 'e': 0.9999276073460579}",20,0,-69.72255109179784,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.9999251537724895}",25,0,-169.18629378770208,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.001, 'e': 0.9999226170474262}",25,0,-174.871803551296,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.001, 'e': 0.9999199943533119}",20,0,-61.34250444262569,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.001, 'e': 0.9999172827771484}",20,0,-97.92450413070604,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
19,False,"{'a': 0.001, 'e': 0.9999144793072654}",30,3,-129.8659669036688,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 3}",1
20,False,"{'a': 0.001, 'e': 0.9999115808299811}",20,0,-93.48374594207077,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.001, 'e': 0.9999085841261478}",20,0,-138.57556275019365,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
22,False,"{'a': 0.001, 'e': 0.9999054858675837}",20,0,-93.41513190095023,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.001, 'e': 0.9999022826133809}",25,0,-131.56763264205304,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.001, 'e': 0.9998989708060922}",20,0,-122.91683368024957,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.001, 'e': 0.9998955467677858}",30,0,-187.5398996074733,"{0: 16, 1: 4, 2: 5, 3: 3, 4: 2}",0
26,False,"{'a': 0.001, 'e': 0.9998920066959683}",20,0,-81.42336393875603,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
27,False,"{'a': 0.001, 'e': 0.9998883466593704}",20,0,-75.3295758316219,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.001, 'e': 0.9998845625935888}",20,0,-26.869095301952942,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.001, 'e': 0.9998806502965821}",20,1,-39.66754758692495,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 0}",1
30,False,"{'a': 0.001, 'e': 0.9998766054240137}",25,2,-37.060798874722536,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 0}",1
31,False,"{'a': 0.001, 'e': 0.9998724234844392}",25,0,-122.3468633212869,"{0: 15, 1: 0, 2: 6, 3: 4, 4: 0}",1
32,False,"{'a': 0.001, 'e': 0.9998680998343279}",30,0,-114.2492131334537,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
33,False,"{'a': 0.001, 'e': 0.9998636296729204}",35,0,-123.25674376475678,"{0: 22, 1: 4, 2: 7, 3: 1, 4: 1}",0
34,False,"{'a': 0.001, 'e': 0.9998590080369097}",20,0,-33.760150496789535,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
35,False,"{'a': 0.001, 'e': 0.9998542297949431}",20,5,-26.48468426726351,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
36,False,"{'a': 0.001, 'e': 0.9998492896419403}",25,0,-83.60505355696854,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
37,False,"{'a': 0.001, 'e': 0.9998441820932178}",25,0,-193.28760840251792,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
38,False,"{'a': 0.001, 'e': 0.9998389014784161}",20,0,-157.00280007824423,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
39,False,"{'a': 0.001, 'e': 0.9998334419352227}",20,0,-157.13956504528264,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
40,False,"{'a': 0.001, 'e': 0.9998277974028811}",20,3,-171.00753426429,"{0: 6, 1: 2, 2: 5, 3: 2, 4: 2}",1
41,False,"{'a': 0.001, 'e': 0.9998219616154834}",20,11,-32.067474414201,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
42,False,"{'a': 0.001, 'e': 0.9998159280950366}",30,0,-287.5605523395486,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 7}",0
43,False,"{'a': 0.001, 'e': 0.9998096901442927}",20,0,-131.5294056757273,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
44,False,"{'a': 0.001, 'e': 0.9998032408393402}",20,3,-62.46659818684102,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 0}",1
45,False,"{'a': 0.001, 'e': 0.9997965730219448}",30,0,-154.60113596377488,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
46,False,"{'a': 0.001, 'e': 0.9997896792916311}",20,0,-84.57104213898442,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
47,False,"{'a': 0.001, 'e': 0.9997825519974998}",25,0,-48.675298015119424,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.001, 'e': 0.9997751832297667}",20,0,-105.54175667479541,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.001, 'e': 0.9997675648110202}",20,0,-129.61903763954206,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
50,False,"{'a': 0.001, 'e': 0.9997596882871811}",25,4,-93.22485401784974,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 2}",1
